id,name,place_id,address,lat,lng,island,region,phone,website_url,rating,review_count,opening_hours,google_maps_url,photo_url,description,price_min_nzd,price_max_nzd,tags,booking_url
1,Akarana Golf Club,ChIJN-_mJXpGDW0RWXZa_2xJcwU,"1388 Dominion Road, Mount Roskill, Auckland 1041, New Zealand",-36.913078299999995,174.7403717,North Island,Auckland,+64 9 621 0024,https://www.akaranagolf.co.nz/,4.4,704,,https://maps.google.com/?cid=392738325000779353&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://places.googleapis.com/v1/places/ChIJN-_mJXpGDW0RWXZa_2xJcwU/photos/AcnlKN0edKGCxbXu47jQ0s4NDfB6mZAjc9MFJAL9qycbQGVrnxTJ8bQy32yJuT7j5qYbuXljih79mcLe4IbJ31vH4h9r5I3fF8Ch1km2dQPK9EJ4DJ0-ObNmTkEN2vGQ7cTpvrbBw5_zkaMQ43it9Oc2gDwT0Idql-uw0YFmMDNT5hzb3xCQlBmXBmAFfU0-uOtpugySoDmISfDGqh4rJpbtjqNK04kTupUAvRXgJzx7R3VBBUkofA5_zvGLZhdT3WnC8wHYtMSsMZI5T0Toj7KXA-VsBEcDXKomSisPXi_yqLUl6yWTwgtdxaEE4lg8VJZbPqedis1kiMqIOfzBZdBQ_RXNdmcctU7aV6qDQK38fXP2aJMuBEXqpe2_9zw8RiGx4VNB_q7wsz6gV4PTrIqDkS6EPOi9zWeOy3gD6qjJXNNwjWLA/media?maxWidthPx=800&key=AIzaSyC8TIk0MnhD2IRSUvuND9nW3i6A344sGGI,"Golf club in Auckland, North Island, set against a scenic mountain backdrop. Rated 4.4/5 (704 reviews) on Google.",35,80,"['coast', 'local', 'value']",
2,Akaroa Golf Club,ChIJ88qthhXNM20Rhaw5tJf1rJo,"77 Pawsons Valley Road, Duvauchelle 7581, New Zealand",-43.7436259,172.93194169999998,South Island,Canterbury,+64 3 304 5704,http://www.akaroagolf.co.nz/,4.7,34,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",https://maps.google.com/?cid=11145553209747680389&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://places.googleapis.com/v1/places/ChIJ88qthhXNM20Rhaw5tJf1rJo/photos/AcnlKN2tEflr-uMxK8z4tztP-CMuvvQ1JiUC7gQLiwQOOfqVXWITZBQRzRcgttMIBBUmdm6Lmo7Gp0mn2v_eUh3C-n0ETnBI_l_rVzFZdTG53Mgw1Fir6I7N6ePkXKCrKj7PKfzqIrlYlqWlGSl7olS2UDMomHFDbwZIW-Ypot1LkcMgfUCJmU21Wz8DVEup8CDszWu5h5zXLq5QvF69rZ-bkLmUyHjbJZy2mx_Imqq3X5wp70RnQmi254M-eSin8OcXwS1N9ykG8fmT6GUE6LeRxKctgkQaYI4SFR9HnOUdlgQJSg/media?maxWidthPx=800&key=AIzaSyC8TIk0MnhD2IRSUvuND9nW3i6A344sGGI,"Golf club in Canterbury, South Island, offering a peaceful playing environment. Rated 4.7/5 (34 reviews) on Google.",50,120,"['coast', 'local', 'mid']",
3,Alexandra Golf Club,ChIJY28BGZEkK6gRQh8Y92DCEmA,"Alexandra 9391, New Zealand",-45.2318058,169.37424769999998,South Island,Otago,,,4.5,64,,https://maps.google.com/?cid=6922809298940075842&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://places.googleapis.com/v1/places/ChIJY28BGZEkK6gRQh8Y92DCEmA/photos/AcnlKN3D70gVTxW63HSuN-DFcIoztgnyboA6hM6iWmI89hPF-DpkUJZcD9IrnkzHG1wdB1sgrHEd-OG4iun72a3Lje4J2H1ouvKnIUM-DEQ0oohisThtzj78UKw77XtqPIRD-MJq_6KB1AWnejYuM_PmJrRPGdVNdQ3XWh-s87iLwM0IfU1hfSCJRi1sei0zfALR-7u4stKAC-vQ2yre6A19LGFecyCl98oU_rMj2q_AFnT-WNgCOxoo2vZXUjheHZO2qFisXh00RRqi8M4Wo1sja4QMR2LlrNtGhc57aELZM90LzxQxEGPkCff50GjMlYWEuQwU5GgRNkscQyEmIK47ctiWq6gk3cuBqtbQAAvKbJX3djuqNPuQ_D54PC0eYsBGbpowgtbYKKPdxJ_GOQMe19z7J-kpSzsW_dEeUmvVomq8aHc7d3Rk7_l846FIxlrt/media?maxWidthPx=800&key=AIzaSyC8TIk0MnhD2IRSUvuND9nW3i6A344sGGI,"Golf club in Otago, South Island, offering a peaceful playing environment. Rated 4.5/5 (64 reviews) on Google.",80,180,"['coast', 'local', 'mid']",
4,Amberley Golf Club,ChIJUTTvZF2kMW0RgLhZZYfvAA8,"85 Golf Links Road, Amberley 7481, New Zealand",-43.1599929,172.7877529,South Island,Canterbury,+64 3 314 8735,http://www.amberleygolf.co.nz/,4.7,116,"['Monday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u20098:00\u202fPM']",https://maps.google.com/?cid=1081127275368921216&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://places.googleapis.com/v1/places/ChIJUTTvZF2kMW0RgLhZZYfvAA8/photos/AcnlKN1GzWC8FC778aaQzKwX03RLcXMzqrRCcbU2OM-UFRJQRadXDv05mVkOGIi1WD5_qlouEVZ3aIPZyVzq95wZfFisyLnd6Sr1BHvawCEHXsue_2eZv_XVtlfPkNlG0OWyCs3GdmJEAczfnVmB_9n2CeSZeXD5UkZc2Oa9nwrNAjEpDN06spERt2b0cXPS2V8G3NTfas3-BxFnFnhKczCO6LB40cZbQ5LvwmCUWM_Wj4Y0UZNZMU0k2fREm5E6M7Tf0B8GHYfmY5tUfB374qmnLoOLAncp80x5Js-EqXfdJzzE5c51KHZJ5hGHilWLP_SET4mFVZuLEUgykftizlvlZHvmq_aYysvBi9e7W58I8hR-bNqBcT_0xkNuotKBKBB4ONyuJcz8ea2wWy0HZLP1JyGp3wbD93LXaclR_vpST5U2zg/media?maxWidthPx=800&key=AIzaSyC8TIk0MnhD2IRSUvuND9nW3i6A344sGGI,"Golf club in Canterbury, South Island, offering a peaceful playing environment. Rated 4.7/5 (116 reviews) on Google.",50,120,"['coast', 'links', 'mid']",
5,Amuri Golf Club,ChIJN9Y7SO70MG0RlYSS2Y4_bWQ,"422 Rotherham Road North, Waiau 7379, New Zealand",-42.6586595,172.9863192,South Island,Canterbury,+64 21 413 744,http://www.canterburygolf.co.nz/clubs/amuri-golf-club/,4.3,14,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20095:00\u202fPM']",https://maps.google.com/?cid=7236510059022419093&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://places.googleapis.com/v1/places/ChIJN9Y7SO70MG0RlYSS2Y4_bWQ/photos/AcnlKN3u7ZsEd8mSMdlyMYXJ-ZTFR-Fobk9D0IMBUGRBtVDzwsX_HbOZTr8BwcboQ7ktQhmzK00G-rqwWqrvHgW_xJChxMhAoNguj1SJHsjJT1zzyBLUlLCm5kd0rlqEb8ttMR3liQgWI80Ww55DQFxJ6ksbw_cjE6Ha9zMxKMel5PO1zE2wBgfHVQR4jFn5tKqIVjK5JB8pbZZOtrNGHy6Q_n01X1FC7zzfcWVhQpijkZ4wdE1yW3GJRY_AR0LojYBhaV6Ds16ivOTWlhl0gmA7a92lCXKtwDmcwRVSLPXkZYlaW0_XDZdRqZPqOofbutzVsENOff57sqDMIqrkdf2NIYOobrYAjRCTenu_gP62bG4iY0ofP19-6j0vCePiCvxM_CxnvB1Pzk1Jzschyllgl8RDg7gn3Iv3hBTufsUMdif_2MuW/media?maxWidthPx=800&key=AIzaSyC8TIk0MnhD2IRSUvuND9nW3i6A344sGGI,"Golf club in Canterbury, South Island, offering a peaceful playing environment. Rated 4.3/5 (14 reviews) on Google.",35,80,"['coast', 'local', 'value']",
6,Arrowtown Golf Club,ChIJR4uhYWwi1akRThs0446nOyg,"166 Centennial Avenue, Arrowtown 9371, New Zealand",-44.9571153,168.8444829,South Island,Otago,+64 3 442 1719,http://www.arrowtowngolf.co.nz/,4.5,172,"['Monday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20096:00\u202fPM']",https://maps.google.com/?cid=2899095017282083662&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://places.googleapis.com/v1/places/ChIJR4uhYWwi1akRThs0446nOyg/photos/AcnlKN10ZDHkncyf3u7E66eAW7WSLuCCmiTqHscEvxyZ_rH-QNarB_8iTYPhKrwCm9D9GOFDKFw68vBGUEAWUX0-Z29MU-AOjjNzfgAqdmQGrvO0YDAzpWj3i7LVH1ZuQsCZGx6aw_2PZfNekEelXVIS6J9kHFNRGuaqXD31prolU3JRNyKlNpahk3CUoXlWQki4G5512lS-Y8E50bJ2VF0dE41pcFloGrr19cAhGfhNJ6ux5JB1XJF80TYSP568a9KvPlyq16qWxrnHNuubqgsdmvIQFHEgV7iQ_i519LtZJY5hcUM9QWi_7xe1bMZWrqCVaJ1dUz50NPHlru9F6vpzqzM5GS9a7q8iwnBioKEaSFH5K21OKfevf1mYR6ZlvUTKK8maygmSLqHgSjdME1was8hu7cbLYjSGlPohofH5ou5lgA/media?maxWidthPx=800&key=AIzaSyC8TIk0MnhD2IRSUvuND9nW3i6A344sGGI,"Long-standing golf club with an 18-hole course featuring rolling hills, tall trees & mountain views.",80,180,"['local', 'mid', 'mountain']",
7,Arrowtown Golf Course,ChIJ0Wxgh2si1akRptWa176l9ws,"Parking lot Centennial Avenue, Arrowtown 9302, New Zealand",-44.957388,168.846645,South Island,Otago,+64 3 442 1719,https://www.arrowtowngolf.co.nz/,4.5,73,"['Monday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u20097:00\u202fPM']",https://maps.google.com/?cid=862340092744357286&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://places.googleapis.com/v1/places/ChIJ0Wxgh2si1akRptWa176l9ws/photos/AcnlKN14eGgcHa6cdsXTbYYdys8qkutR3H5PbOxV_MjWo5DLiKlCDX31GxedlA2VjCHaZ6zXh98Z6IU-BkYNV9193NG1fHJvQnAhSHtsdkPCQoaXsqPZS20Sm5-u0R1mUl0l9kDlVY8iV2j57Pj51ETZIYcWxyaVZ9Gjj27WZfK7EGczMygEZXCcG5YFze0GXU5i3_uqqTkVsq9238Jj7OUbBjkWJDj9dMfe8lTSzGwtz0EPSsrOTKExWWuUkrbmr-LTYmS1r-hBRWyUaiCSKTvlnxo9lUEg8ccnuLiV2GWvZwviK5DKo4NUZukX6bpp_R0v6bYpuDVm96r191NuEaRGyyB4OCCiMNI9OxYEFG0I9e5xDNwgVL83ayujGQeue_nfHg-5uvc3Uo0W3yoBv1cU2Td4Hpl8iGTw2YmKfwBSwLncgtWe/media?maxWidthPx=800&key=AIzaSyC8TIk0MnhD2IRSUvuND9nW3i6A344sGGI,"Golf course in Otago, South Island, offering a peaceful playing environment. Rated 4.5/5 (73 reviews) on Google.",150,400,"['coast', 'premium', 'resort']",
8,Avondale Golf Club,ChIJZ8tmpuOIMW0REzrx_vNHN-M,"141 Breezes Road, Avondale, Christchurch 8061, New Zealand",-43.5103225,172.69413749999998,South Island,Canterbury,+64 3 388 8203,http://avondalegolfclub.co.nz/,4.5,214,"['Monday: 8:00\u202fAM\u2009–\u20095:30\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:30\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:30\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:30\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:30\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20095:30\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20095:30\u202fPM']",https://maps.google.com/?cid=16372634083608574483&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://places.googleapis.com/v1/places/ChIJZ8tmpuOIMW0REzrx_vNHN-M/photos/AcnlKN0vG_46gfFzH4UcpzUTbhP_ZZn7V0_pLW20_gQkyDDD1A-gpOU9iv70iYUN6yQnGLbzwiK5V4j3OqEkVD_38IQsGtGZKVBst_3FAbL3QSDV1lcT43OhBrcZNS63VLcoFAZCLkriwB8A5SCX-MSAgmofcJjFmEjnBmLadbeYkNP279zfFZ5H9QzT6gTy29Nf4Trer6B0x7kbGvzL2l_-z1r4FsZFobAzQQLxf_hVQ9DkhvH4N2qkNAxy8J-HsabVFiM2uWJ5LIprEZHzDAyCx2oPEn_6XnrYN1vNwCcXRBHXFBWiH3iODn0l9Q5vlT6n7II9pvefoftt8PLxjtSBLs6my7GEGQij4FXyp3CwPfjRxMWY_pLIKjlgMxlX_k99DFQ8qovvLzKIuovDzcT10OfmVjDu6-GkwuXc51baxfTXVoiw/media?maxWidthPx=800&key=AIzaSyC8TIk0MnhD2IRSUvuND9nW3i6A344sGGI,"Golf club in Canterbury, South Island, offering a peaceful playing environment. Rated 4.5/5 (214 reviews) on Google.",50,120,"['coast', 'local', 'mid']",
9,Awapuni Links,ChIJ7whZrpV3Zm0RjFubqQAJQy0,"381 Lytton Road, Awapuni, Gisborne 4010, New Zealand",-38.668863099999996,177.9960479,North Island,Gisborne,+64 6 867 4402,https://www.gisbornegolf.co.nz/,4.5,98,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 7:30\u202fAM\u2009–\u20095:00\u202fPM']",https://maps.google.com/?cid=3261460453596552076&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://places.googleapis.com/v1/places/ChIJ7whZrpV3Zm0RjFubqQAJQy0/photos/AcnlKN3yc4aXCgMcr8X1hfLXmS4Ue8CkSJ4_NCf7wfUuCZMvXkR-7DE-snwttX0PihsQpLcurUzNSBPKTto-_nNZglW7e8sZWgnU6zzZcl8hRqFFZ-2znhzG4I85rmqp72Rot7SsIrPjdAPnBwPKkMmw2LbIV6AqAzQw8w6_-t9u8OGaebOl2G48xURfD8fzhvxKlI-vEXWffFHK7trlDC4MGBeDE2-JIqO9Go9raRXRJZckSqDqHXOoDTp9SOzD56b8eYU7ISl5kwB2sxxPF8-12Le-YONHLgBLjZsWKeXNeFMZlFDwzJcQzjwbzaOkHJ6h9VHr2J0ennU5jSLSgQX79LorZsPc_t3UkeENhNdgu7a3dRsSn7vFzCVuEPJ2SFP2moLwpYGeqa_5iIIRS7AwpdBJiPt6JexWNHX7JeCCzxkKrERi/media?maxWidthPx=800&key=AIzaSyC8TIk0MnhD2IRSUvuND9nW3i6A344sGGI,"Links-style in Gisborne, North Island, offering a peaceful playing environment. Rated 4.5/5 (98 reviews) on Google.",80,200,"['coast', 'links', 'mid']",
10,Awatoto Public Golf Course,ChIJiyAGcFtLaG0RTv_45C8-55w,"200 Awatoto Road, Awatoto, Napier 4110, New Zealand",-39.536787,176.9166923,North Island,Hawke's Bay,+64 6 835 9950,http://www.maraenuigolf.co.nz/,4.2,120,"['Monday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 7:30\u202fAM\u2009–\u20095:00\u202fPM']",https://maps.google.com/?cid=11306073764962828110&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://places.googleapis.com/v1/places/ChIJiyAGcFtLaG0RTv_45C8-55w/photos/AcnlKN0jqjPAbBAEAggJ2DJdp9auzuTWqELtSn86VIcfYb0a-4LS6jWa0OA4NQ6wUsagjODqeSYpkvI8YCfQVMGD5PkNVbFhrx-IuTjZnujHCkz9h1DAkFDJg5Df1KbpYLeM5y16IsE-DA5lG60LCmxxLHgGOm58ts92BRPi6IseRFx8OWuFHUHAWvE79Mb3LhJUScYl--RgNmibSj__FG3cvDcr37l6sl6d8aK6RqI5cinWuiBfZT13K9QWjNxC9IFyCyP4FzeXCLWCrZmfb7T3-13AaYd6ft-uXvkdkrF3LTUU2ZL-Cl_WJonudCvV1uTGxsPkBLXtFHYCF7kWNvSv7W6IxxmZ46AdVvj_hioUMkDW9FklvgXHTz6kMTTvUJ6qwIcEtBhntOiQIY-VDDeU8rymraNwaG39cyhwUOQ0t6Q9eny7/media?maxWidthPx=800&key=AIzaSyC8TIk0MnhD2IRSUvuND9nW3i6A344sGGI,"Golf course in Hawke's Bay, North Island, offering a peaceful playing environment. Rated 4.2/5 (120 reviews) on Google.",35,80,"['coast', 'local', 'value']",
